Rank,Tactic,TID,Technique,Percentage,Reporter,Year,Type,"extracted_Source"
127,"Prvilege Escalation
Defense Evasion","T1134.004","Access Token Manipulation: Parent PID Spoofing","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
127,"Prvilege Escalation
Defense Evasion","T1134.002","Access Token Manipulation: Create Process with Token","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,"Prvilege Escalation
Defense Evasion","T1134.002","Create Process with Token","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,"Prvilege Escalation
Defense Evasion","T1134.002","Access Token Manipulation: Create Process with Token","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Prvilege Escalation
Defense Evasion","T1134.002","Access Token Manipulation: Create Process with Token","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
113,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Impersonation/Theft","4.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
49,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Inpersonation Theft","8.1","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Impersonation/Theft","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
91,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Impersonation/Theft","6.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Impersonation/Theft","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Prvilege Escalation
Defense Evasion","T1134.001","Access Token Manipulation: Token Impersonation/Theft","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
48,"Prvilege Escalation
Defense Evasion",T1134,"Access Token Manipulation","13.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
27,"Prvilege Escalation
Defense Evasion",T1134,"Access Token Manipulation","16.3","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
60,"Prvilege Escalation
Defense Evasion",T1134,"Access Token Manipulation","12.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
44,"Prvilege Escalation
Defense Evasion",T1134,"Access Token Manipulation","5.9","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Prvilege Escalation
Defense Evasion",T1134,"Access Token Manipulation","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
21,"Initial Access
Persistence",T1133,"External Remote Services","20.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
34,"Initial Access
Persistence",T1133,"External Remote Services","12.6","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
2,"Initial Access
Persistence",T1133,"External Remote Services","54.55",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
3,"Initial Access
Persistence",T1133,"External Remote Services","28.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a"
72,"Initial Access
Persistence",T1133,"External Remote Services","8.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
2,"Initial Access
Persistence",T1133,"External Remote Services","35.71",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
27,"Initial Access
Persistence",T1133,"External Remote Services","11.5","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
2,"Initial Access
Persistence",T1133,"External Remote Services","38.46",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
4,"Initial Access
Persistence",T1133,"External Remote Services","28.19","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
4,"Initial Access
Persistence",T1133,"External Remote Services","18.75",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
10,"Command and Control","T1132.002","Data Encoding: Non-Standard Encoding","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
5,"Command and Control","T1132.002","Data Encoding: Non-Standard Encoding","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
210,"Command and Control","T1132.001","Data Encoding: Standard Encoding","0.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,"Command and Control","T1132.001","Data Encoding: Standard Encoding","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
3,"Command and Control","T1132.001","Data Encoding: Standard Encoding",25,CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
10,"Command and Control",T1132,"Data Encoding","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
210,"Command and Control",T1132,"Data Encoding","0.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
9,Execution,T1129,"Shared Modules","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-144a"
230,Execution,T1129,"Shared Modules","0.6","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Execution,T1129,"Shared Modules","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,Execution,T1129,"Shared Modules","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
362,"Defense Evasion","T1127.001","Trusted Developer Utilities Proxy Execution: MSBuild","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
249,"Defense Evasion","T1127.001","Trusted Developer Utilities Proxy Execution: MSBuild","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Defense Evasion","T1127.001","Trusted Developer Utilities Proxy Execution: MSBuild","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
361,"Defense Evasion",T1127,"Trusted Developer Utilities Proxy Execution","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
249,"Defense Evasion",T1127,"Trusted Developer Utilities Proxy Execution","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
130,"Defense Evasion",T1127,"Trusted Developer Utilities Proxy Execution","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
120,Collection,T1125,"Video Capture","3.9","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,Collection,T1125,"Video Capture","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
130,Collection,T1125,"Video Capture","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
188,Discovery,T1124,"System Time Discovery","1.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
127,Discovery,T1124,"System Time Discovery","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,Discovery,T1124,"System Time Discovery","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Discovery,T1124,"System Time Discovery","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
230,Discovery,T1124,"System Time Discovery","0.6","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
74,Discovery,T1124,"System Time Discovery","0.44","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
368,Collection,T1123,"Audio Capture","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
130,Collection,T1123,"Audio Capture","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,Collection,T1123,"Audio Capture","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
288,Discovery,T1120,"Peripheral Device Discovery","0.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
144,Discovery,T1120,"Peripheral Device Discovery","0.2","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Discovery,T1120,"Peripheral Device Discovery","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,Discovery,T1120,"Peripheral Device Discovery","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Discovery,T1120,"Peripheral Device Discovery","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
367,Collection,T1119,"Automated Collection","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
127,Collection,T1119,"Automated Collection","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Collection,T1119,"Automated Collection","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Collection,T1119,"Automated Collection","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a"
311,Collection,T1119,"Automated Collection","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,Collection,T1119,"Automated Collection","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
111,Collection,T1115,"Clipboard Data","5.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
64,Collection,T1115,"Clipboard Data","4.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Collection,T1115,"Clipboard Data","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Collection,T1115,"Clipboard Data","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-108"
111,Collection,T1115,"Clipboard Data","4.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
70,Collection,T1115,"Clipboard Data","2.7","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,Collection,T1115,"Clipboard Data","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,Collection,T1115,"Clipboard Data","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,Collection,"T1114.003","Email Collection: Email Forwarding Rule","6.2","Red Canary",2024,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2024ThreatDetectionReport_RedCanary.pdf?version=0"
127,Collection,"T1114.003","Email Collection: Email Forwarding Rule","0.4","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
10,Collection,"T1114.003","Email Collection: Email Forwarding Rule","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
311,Collection,"T1114.003","Email Collection: Email Forwarding Rule","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Collection,"T1114.003","Email Collection: Email Forwarding Rule","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
270,Collection,"T1114.002","Email Collection: Remote Email Collection","0.6","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
87,Collection,"T1114.002","Email Collection: Remote Email Collection","1.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Collection,"T1114.002","Email Collection: Remote Email Collection","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Collection,"T1114.002","Email Collection: Remote Email Collection","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
187,Collection,"T1114.002","Email Collection: Remote Email Collection","1.1","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Collection,"T1114.002","Email Collection: Remote Email Collection","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
366,Collection,"T1114.001","Email Collection: Local Email Collection","0.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
118,Collection,"T1114.001","Email Collection: Local Email Collection","0.5","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
280,Collection,"T1114.001","Email Collection: Local Email Collection","0.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,Collection,"T1114.001","Email Collection: Local Email Collection","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
154,Collection,T1114,"Email Collection","2.4","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
68,Collection,T1114,"Email Collection","3.8","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
6,Collection,T1114,"Email Collection","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,Collection,T1114,"Email Collection","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
161,Collection,T1114,"Email Collection",2,"M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,Collection,T1114,"Email Collection","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
63,Collection,T1114,"Email Collection","3.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,Collection,T1114,"Email Collection","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,Collection,T1114,"Email Collection","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
116,Collection,T1113,"Screen Capture","4.7","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
62,Collection,T1113,"Screen Capture","5.1","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
7,Collection,T1113,"Screen Capture","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Collection,T1113,"Screen Capture","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
121,Collection,T1113,"Screen Capture","3.8","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
5,Collection,T1113,"Screen Capture","14.29",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
63,Collection,T1113,"Screen Capture","3.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
4,Collection,T1113,"Screen Capture","18.75",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
15,"Defense Evasion",T1112,"Modify Registry","26.5","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,"Defense Evasion",T1112,"Modify Registry","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
5,"Defense Evasion",T1112,"Modify Registry","21.43",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a"
22,"Defense Evasion",T1112,"Modify Registry","22.3","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
13,"Defense Evasion",T1112,"Modify Registry","1.3","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
6,"Defense Evasion",T1112,"Modify Registry","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
17,"Defense Evasion",T1112,"Modify Registry","15.6","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Defense Evasion",T1112,"Modify Registry","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
24,"Defense Evasion",T1112,"Modify Registry","6.61","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Defense Evasion",T1112,"Modify Registry","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
133,"Credential Access",T1111,"Multi-Factor Authentication Interception","3.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
130,"Credential Access",T1111,"Multi-Factor Authentication Interception","3.2","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Credential Access",T1111,"Multi-Factor Authentication Interception","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
187,"Credential Access",T1111,"Multi-Factor Authentication Interception","1.1","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
105,"Credential Access",T1111,"Multi-Factor Authentication Interception","0.7","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
74,"Credential Access",T1111,"Multi-Factor Authentication Interception","0.44","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
237,"Credential Access","T1110.004","Brute Force: Credential Stuffing","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
228,"Credential Access","T1110.004","Brute Force: Credential Stuffing","0.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
249,"Credential Access","T1110.004","Brute Force: Credential Stuffing","0.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Credential Access","T1110.004","Brute Force: Credential Stuffing","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
199,"Credential Access","T1110.003","Brute Force: Password Spraying","1.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
196,"Credential Access","T1110.003","Brute Force: Password Spraying","1.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
10,"Credential Access","T1110.003","Brute Force: Password Spraying","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
199,"Credential Access","T1110.003","Brute Force: Password Spraying","0.9","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
80,"Credential Access","T1110.003","Brute Force: Password Spraying",2,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Credential Access","T1110.003","Brute Force: Password Spraying","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,"Credential Access","T1110.003","Brute Force: Password Spraying","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,"Credential Access","T1110.002","Brute Force: Password Cracking","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Credential Access","T1110.002","Brute Force: Password Cracking","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
6,"Credential Access","T1110.002","Brute Force: Password Cracking","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,"Credential Access","T1110.002","Brute Force: Password Cracking","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
141,"Credential Access","T1110.001","Brute Force: Password Guessing","2.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
137,"Credential Access","T1110.001","Brute Force: Password Guessing","2.8","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
7,"Credential Access","T1110.001","Brute Force: Password Guessing","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
10,"Credential Access","T1110.001","Brute Force: Password Guessing","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
185,"Credential Access","T1110.001","Brute Force: Password Guessing","1.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Credential Access","T1110.001","Brute Force: Password Guessing","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
91,"Credential Access","T1110.001","Brute Force: Password Guessing","1.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Credential Access","T1110.001","Brute Force: Password Guessing","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
6,"Credential Access","T1110.001","Brute Force: Password Guessing","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
89,"Credential Access",T1110,"Brute Force","7.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
88,"Credential Access",T1110,"Brute Force","7.3","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
6,"Credential Access",T1110,"Brute Force","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
8,"Credential Access",T1110,"Brute Force","10.71",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a"
127,"Credential Access",T1110,"Brute Force","3.7","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Credential Access",T1110,"Brute Force","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
42,"Credential Access",T1110,"Brute Force","6.1","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Credential Access",T1110,"Brute Force","7.69",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
27,"Credential Access",T1110,"Brute Force","5.29","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
5,"Credential Access",T1110,"Brute Force","12.5",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,Execution,T1106,"Native API","18.18",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
9,Execution,T1106,"Native API","7.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-074a"
130,Execution,T1106,"Native API","0.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
5,Execution,T1106,"Native API","15.38",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
4,Execution,T1106,"Native API","18.75",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
3,"Command and Control",T1105,"Ingress Tool Transfer","12.6","CTID Sightings",2023,Private,"https://center-for-threat-informed-defense.github.io/sightings_ecosystem/top-15-techniques/#"
9,"Command and Control",T1105,"Ingress Tool Transfer","11.3","Red Canary",2024,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2024ThreatDetectionReport_RedCanary.pdf?version=0"
6,"Command and Control",T1105,"Ingress Tool Transfer",19,"Red Canary",2023,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2023_ThreatDetectionReport_RedCanary.pdf"
12,"Command and Control",T1105,"Ingress Tool Transfer","24.9","M-Trends",2023,Private,"https://mandiant.widen.net/s/ztzxqs9qmh/m-trends-2023-report"
3,"Command and Control",T1105,"Ingress Tool Transfer","45.45",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
2,"Command and Control",T1105,"Ingress Tool Transfer","32.14",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-059a"
5,"Command and Control",T1105,"Ingress Tool Transfer","20.4","Red Canary",2022,Private,"https://resource.redcanary.com/rs/003-YRU-314/images/2022_ThreatDetectionReport_RedCanary.pdf"
15,"Command and Control",T1105,"Ingress Tool Transfer","26.5","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
15,"Command and Control",T1105,"Ingress Tool Transfer","0.91","CTID Sightings",2022,Private,"https://web.mitre-engenuity.org/hubfs/Center%20for%20Threat%20Informed%20Defense/CTID-Sightings-Ecosystem-Report.pdf"
2,"Command and Control",T1105,"Ingress Tool Transfer","35.71",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
8,"Command and Control",T1105,"Ingress Tool Transfer",5,"Red Canary",2021,Private,"https://falksangdata.no/wp-content/uploads/2021/06/RedCanary-2021-Threat-Detection-Report.pdf"
7,"Command and Control",T1105,"Ingress Tool Transfer","24.2","M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
4,"Command and Control",T1105,"Ingress Tool Transfer","23.08",CISA,2021,Public,"https://www.cisa.gov/uscert/ncas/alerts/2021"
5,"Command and Control",T1105,"Ingress Tool Transfer",9,"Red Canary",2020,Private,"https://issa-centralmd.org/wp-content/uploads/2021-01-27-Red-Canary-Threat-Detection-Report.pdf"
12,"Command and Control",T1105,"Ingress Tool Transfer","10.57","M-Trends",2020,Private,"https://www.mandiant.com/sites/default/files/2021-09/mtrends-2020.pdf"
2,"Command and Control",T1105,"Ingress Tool Transfer","31.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
10,"Command and Control",T1104,"Multi-Stage Channels","3.57",CISA,2023,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-129a"
6,"Command and Control",T1104,"Multi-Stage Channels","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,"Command and Control",T1104,"Multi-Stage Channels","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
7,"Command and Control","T1102.003","Web Service: One-way Communication","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
7,"Command and Control","T1102.002","Web Service: Bidirectional Communication","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
6,"Command and Control","T1102.002","Web Service: Bidirectional Communication","7.14",CISA,2022,Public,"https://www.cisa.gov/uscert/ncas/alerts/2022"
6,"Command and Control","T1102.002","Web Service: Bidirectional Communication","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
7,"Command and Control","T1102.001","Web Service: Dead Drop Resolver","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
311,"Command and Control","T1102.001","Web Service: Dead Drop Resolver","0.2","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
6,"Command and Control","T1102.001","Web Service: Dead Drop Resolver","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
7,"Command and Control",T1102,"Web Service","9.09",CISA,2024,Public,"https://www.cisa.gov/news-events/cybersecurity-advisories"
187,"Command and Control",T1102,"Web Service","1.1","M-Trends",2022,Private,"https://www.mandiant.com/media/15671"
97,"Command and Control",T1102,"Web Service",1,"M-Trends",2021,Private,"https://www.mandiant.com/sites/default/files/2021-09/rpt-mtrends-2021-3.pdf"
6,"Command and Control",T1102,"Web Service","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
6,,T1101,"Data Obfuscation","6.25",CISA,2020,Public,"https://www.cisa.gov/uscert/ncas/alerts/2020"
162,"Persistence
Prvilege Escalation","T1098.005","Account Manipulation: Device Registration","2.1","M-Trends",2024,Private,"https://services.google.com/fh/files/misc/m-trends-2024.pdf"
